								  t1  t2  t3
keeping the                       0   0   1   
keeping the potters               0   0   1   
kiss                              0   0   1   
kiss dudley                       0   0   1   
kiss dudley but                   0   0   1   
kitchens                          0   1   0   
kitchens all                      0   1   0   
kitchens all were                 0   1   0   
knew                              0   0   1   
knew that                         0   0   1   
knew that the                     0   0   1   
knob                              0   1   0   
knob in                           0   1   0   
knob in the                       0   1   0   
know                              0   1   0   
know enough                       0   1   0   
know enough to                    0   1   0   
known                             1   0   0   
known as                          1   0   0   
known as the                      1   0   0   
lad                               1   0   0   
lad said                          1   0   0   
lad said bilbo                    1   0   0   
large                             0   1   3   
large mustache                    0   0   1   
large mustache dursley            0   0   1   
large order                       0   0   1   
large order of                    0   0   1   
large stupid                      0   1   0   
large stupid folk                 0   1   0   
large tawny                       0   0   1   
large tawny owl                   0   0   1   
last                              0   0   1   
last people                       0   0   1   
last people you                   0   0   1   
later                             0   0   1   
later dursley                     0   0   1   
later dursley arrived             0   0   1   
laugh                             0   1   0   
laugh deep                        0   1   0   
laugh deep fruity                 0   1   0   
laughs                            0   1   0   
laughs especially                 0   1   0   
laughs especially after           0   1   0   
leading                           1   0   0   
leading authority                 1   0   0   
leading authority by              1   0   0   
leathery                          0   1   0   
leathery soles                    0   1   0   
leathery soles and                0   1   0   
left                              0   0   1   
left the                          0   0   1   
left the house                    0   0   1   
legend                            1   0   0   
legend and                        1   0   0   
legend and it                     1   0   0   
legs                              0   0   1   
legs and                          0   0   1   
legs and walk                     0   0   1   
less                              0   1   0   
less noise                        0   1   0   
less noise and                    0   1   0   
light                             0   0   1   
light dursley                     0   0   1   
light dursley blinked             0   0   1   
like                              1   6   1   
like a                            0   3   0   
like a porthole                   0   1   0   
like a second                     0   1   0   
like a tunnel                     0   1   0   
like bilbo                        1   0   0   
like bilbo and                    1   0   0   
like elephants                    0   1   0   
like elephants which              0   1   0   
like that                         0   0   1   
like that when                    0   0   1   
like the                          0   1   0   
like the stuff                    0   1   0   
like you                          0   1   0   
like you and                      0   1   0   
little                            1   4   2   
little effect                     1   0   0   
little effect on                  1   0   0   
little of                         0   1   0   
little of all                     0   1   0   
little or                         0   1   0   
little or no                      0   1   0   
little people                     0   1   0   
little people about               0   1   0   
little round                      0   1   0   
little round doors                0   1   0   
little shake                      0   0   1   
little shake and                  0   0   1   
little tyke                       0   0   1   
little tyke chortled              0   0   1   
live                              4   0   0   
live at                           1   0   0   
live at bag                       1   0   0   
live here                         1   0   0   
live here frodo                   1   0   0   
live in                           1   0   0   
live in the                       1   0   0   
live on                           1   0   0   
live on the                       1   0   0   
lived                             1   3   0   
lived a                           0   1   0   
lived a hobbit                    0   1   0   
lived across                      0   1   0   
lived across the                  0   1   0   
lived in                          0   1   0   
lived in the                      0   1   0   
lived on                          1   0   0   
lived on the                      1   0   0   
lively                            1   0   0   
lively combined                   1   0   0   
lively combined at                1   0   0   
lives                             1   0   0   
lives with                        1   0   0   
lives with him                    1   0   0   
living                            0   1   0   
living in                         0   1   0   
living in the                     0   1   0   
local                             1   0   0   
local legend                      1   0   0   
local legend and                  1   0   0   
long                              0   4   0   
long ago                          0   2   0   
long ago in                       0   1   0   
long ago one                      0   1   0   
long clever                       0   1   0   
long clever brown                 0   1   0   
long wooden                       0   1   0   
long wooden pipe                  0   1   0   
look                              0   0   1   
look again                        0   0   1   
look again there                  0   0   1   
looked                            0   1   0   
looked and                        0   1   0   
looked and behaved                0   1   0   
looking                           1   1   1   
looking at                        0   0   1   
looking at the                    0   0   1   
looking for                       1   0   0   
looking for a                     1   0   0   
looking over                      0   1   0   
looking over his                  0   1   0   
looks                             1   0   0   
looks after                       1   0   0   
looks after all                   1   0   0   
lost                              0   1   0   
lost the                          0   1   0   
lost the respect                  0   1   0   
lot                               0   0   2   
lot his                           0   0   1   
lot his mind                      0   0   1   
lot of                            0   0   1   
lot of strangely                  0   0   1   
lots                              0   3   0   
lots and                          0   1   0   
lots and lots                     0   1   0   
lots of                           0   2   0   
lots of pegs                      0   1   0   
lots of these                     0   1   0   
lunchtime                         0   0   1   
lunchtime when                    0   0   1   
lunchtime when he                 0   0   1   
luxurious                         0   1   0   
luxurious for                     0   1   0   
luxurious for her                 0   1   0   
made                              0   0   2   
made drills                       0   0   1   
made drills he                    0   0   1   
made several                      0   0   1   
made several important            0   0   1   
magic                             0   1   0   
magic about                       0   1   0   
magic about them                  0   1   0   
magnificence                      1   0   0   
magnificence there                1   0   0   
magnificence there was            1   0   0   
mainly                            1   0   0   
mainly carried                    1   0   0   
mainly carried on                 1   0   0   
making                            0   1   0   
making a                          0   1   0   
making a noise                    0   1   0   
man                               0   0   2   
man had                           0   0   1   
man had to                        0   0   1   
man with                          0   0   1   
man with hardly                   0   0   1   
many                              1   2   0   
many devoted                      1   0   0   
many devoted admirers             1   0   0   
many little                       0   1   0   
many little round                 0   1   0   
many miles                        0   1   0   
many miles round                  0   1   0   
map                               0   0   2   
map for                           0   0   1   
map for a                         0   0   1   
map in                            0   0   1   
map in sight                      0   0   1   
maps                              0   0   1   
maps or                           0   0   1   
maps or signs                     0   0   1   
mark                              1   0   0   
mark there                        1   0   0   
mark there were                   1   0   0   
marvel                            1   0   0   
marvel at                         1   0   0   
marvel at time                    1   0   0   
matter                            1   0   0   
matter of                         1   0   0   
matter of especially              1   0   0   
may                               1   1   0   
may frodo                         1   0   0   
may frodo is                      1   0   0   
may have                          0   1   0   
may have lost                     0   1   0   
me                                1   1   0   
me come                           0   1   0   
me come blundering                0   1   0   
me why                            1   0   0   
me why any                        1   0   0   
meadows                           0   1   0   
meadows beyond                    0   1   0   
meadows beyond sloping            0   1   0   
means                             0   1   0   
means comfort                     0   1   0   
means comfort it                  0   1   0   
meet                              1   0   0   
meet very                         1   0   0   
meet very much                    1   0   0   
members                           0   1   0   
members of                        0   1   0   
members of the                    0   1   0   
met                               0   0   1   
met for                           0   0   1   
met for several                   0   0   1   
middle                            0   1   0   
middle the                        0   1   0   
middle the door                   0   1   0   
might                             1   0   1   
might have                        0   0   1   
might have found                  0   0   1   
might say                         1   0   0   
might say that                    1   0   0   
mile                              0   1   0   
mile off                          0   1   0   
mile off they                     0   1   0   
miles                             0   1   0   
miles round                       0   1   0   
miles round called                0   1   0   
mind                              0   1   3   
mind and                          0   1   0   
mind and people                   0   1   0   
mind as                           0   0   1   
mind as he                        0   0   1   
mind back                         0   0   1   
mind back on                      0   0   1   
mind by                           0   0   1   
mind by something                 0   0   1   
minutes                           0   0   1   
minutes later                     0   0   1   
minutes later dursley             0   0   1   
mirror                            0   0   1   
mirror it                         0   0   1   
mirror it was                     0   0   1   
missed                            0   0   1   
missed because                    0   0   1   
missed because dudley             0   0   1   
mixing                            0   0   1   
mixing with                       0   0   1   
mixing with a                     0   0   1   
money                             1   1   0   
money most                        1   0   0   
money most people                 1   0   0   
money that                        0   1   0   
money that was                    0   1   0   
mood                              0   0   1   
mood until                        0   0   1   
mood until lunchtime              0   0   1   
more                              4   1   1   
more attentive                    1   0   0   
more attentive audience           1   0   0   
more green                        0   1   0   
more green and                    0   1   0   
more he                           0   0   1   
more he was                       0   0   1   
more than                         2   0   0   
more than half                    1   0   0   
more than looks                   1   0   0   
more years                        1   0   0   
more years passed                 1   0   0   
morning                           0   1   3   
morning he                        0   0   2   
morning he did                    0   0   1   
morning he yelled                 0   0   1   
morning long                      0   1   0   
morning long ago                  0   1   0   
morning traffic                   0   0   1   
morning traffic jam               0   0   1   
most                              1   2   2   
most boring                       0   0   1   
most boring tie                   0   0   1   
most luxurious                    0   1   0   
most luxurious for                0   1   0   
most of                           0   1   1   
most of them                      0   1   1   
most people                       1   0   0   
most people were                  1   0   0   
mother                            0   2   0   
mother of                         0   2   0   
mother of our                     0   1   0   
mother of this                    0   1   0   
mouthed                           0   0   1   
mouthed as                        0   0   1   
mouthed as owl                    0   0   1   
moved                             0   0   1   
moved on                          0   0   1   
moved on and                      0   0   1   
much                              5   0   2   
much like                         1   0   0   
much like bilbo                   1   0   0   
much of                           1   0   1   
much of a                         1   0   0   
much of her                       0   0   1   
much talk                         1   0   0   
much talk and                     1   0   0   
much the                          1   0   0   
much the same                     1   0   0   
much they                         0   0   1   
much they were                    0   0   1   
much to                           1   0   0   
much to tell                      1   0   0   
must                              0   1   1   
must have                         0   1   1   
must have been                    0   0   1   
must have taken                   0   1   0   
mustache                          0   0   1   
mustache dursley                  0   0   1   
mustache dursley was              0   0   1   
my                                1   0   0   
my lad                            1   0   0   
my lad said                       1   0   0   
mysterious                        0   0   2   
mysterious because                0   0   1   
mysterious because they           0   0   1   
mysterious things                 0   0   1   
mysterious things would           0   0   1   
name                              1   1   0   
name but                          1   0   0   
name but more                     1   0   0   
name was                          0   1   0   
name was baggins                  0   1   0   
nasty                             0   1   0   
nasty dirty                       0   1   0   
nasty dirty wet                   0   1   0   
natural                           2   1   0   
natural and                       1   0   0   
natural and trouble               1   0   0   
natural leathery                  0   1   0   
natural leathery soles            0   1   0   
natural small                     1   0   0   
natural small wonder              1   0   0   
nearer                            1   0   0   
nearer the                        1   0   0   
nearer the mark                   1   0   0   
nearly                            0   1   1   
nearly down                       0   1   0   
nearly down to                    0   1   0   
nearly twice                      0   0   1   
nearly twice the                  0   0   1   
neatly                            0   1   0   
neatly brushed                    0   1   0   
neatly brushed gandalf            0   1   0   
neck                              0   0   2   
neck although                     0   0   1   
neck although he                  0   0   1   
neck which                        0   0   1   
neck which came                   0   0   1   
need                              0   1   0   
need some                         0   1   0   
need some description             0   1   0   
neighbors                         0   0   2   
neighbors the                     0   0   1   
neighbors the dursleys            0   0   1   
neighbors would                   0   0   1   
neighbors would say               0   0   1   
neighbour                         1   0   0   
neighbour they                    1   0   0   
neighbour they live               1   0   0   
neighbourhood                     1   1   0   
neighbourhood including           1   0   0   
neighbourhood including himself   1   0   0   
neighbourhood of                  0   1   0   
neighbourhood of the              0   1   0   
nerve                             0   0   1   
nerve of                          0   0   1   
nerve of him                      0   0   1   
never                             1   2   2   
never arrived                     0   1   0   
never arrived until               0   1   0   
never even                        0   0   1   
never even seen                   0   0   1   
never had                         0   1   0   
never had any                     0   1   0   
never much                        1   0   0   
never much to                     1   0   0   
never seen                        0   0   1   
never seen an                     0   0   1   
new                               0   0   1   
new fashion                       0   0   1   
new fashion he                    0   0   1   
nice                              2   0   0   
nice a                            1   0   0   
nice a young                      1   0   0   
nice gentlehobbit                 1   0   0   
nice gentlehobbit is              1   0   0   
nighttime                         0   0   1   
nighttime dursley                 0   0   1   
nighttime dursley however         0   0   1   
ninety                            1   0   0   
ninety he                         1   0   0   
ninety he was                     1   0   0   
ninth                             0   0   1   
ninth floor                       0   0   1   
ninth floor if                    0   0   1   
no                                3   4   2   
no beards                         0   1   0   
no beards there                   0   1   0   
no close                          1   0   0   
no close friends                  1   0   0   
no finer                          0   0   1   
no finer boy                      0   0   1   
no going                          0   1   0   
no going upstairs                 0   1   0   
no looking                        0   0   1   
no looking at                     0   0   1   
no magic                          0   1   0   
no magic about                    0   1   0   
no one                            1   0   0   
no one had                        1   0   0   
no shoes                          0   1   0   
no shoes because                  0   1   0   
no wonder                         1   0   0   
no wonder queer                   1   0   0   
noakes                            1   0   0   
noakes of                         1   0   0   
noakes of bywater                 1   0   0   
noise                             0   2   0   
noise and                         0   1   0   
noise and more                    0   1   0   
noise like                        0   1   0   
noise like elephants              0   1   0   
none                              0   0   1   
none of                           0   0   1   
none of them                      0   0   1   
nonsense                          0   0   1   
nonsense dursley                  0   0   1   
nonsense dursley was              0   0   1   
nor                               0   1   0   
nor yet                           0   1   0   
nor yet a                         0   1   0   
normal                            0   0   2   
normal morning                    0   0   1   
normal morning he                 0   0   1   
normal thank                      0   0   1   
normal thank you                  0   0   1   
not                               2   6   0   
not a                             0   1   0   
not a nasty                       0   1   0   
not as                            0   1   0   
not as respectable                0   1   0   
not come                          1   0   0   
not come and                      1   0   0   
not enough                        1   0   0   
not enough for                    1   0   0   
not entirely                      0   1   0   
not entirely hobbitlike           0   1   0   
not only                          0   1   0   
not only because                  0   1   0   
not quite                         0   1   0   
not quite straight                0   1   0   
not that                          0   1   0   
not that belladonna               0   1   0   
nothing                           0   1   2   
nothing about                     0   0   1   
nothing about the                 0   0   1   
nothing except                    0   0   1   
nothing except a                  0   0   1   
nothing in                        0   1   0   
nothing in it                     0   1   0   
noticed                           0   0   2   
noticed a                         0   0   1   
noticed a large                   0   0   1   
noticed the                       0   0   1   
noticed the first                 0   0   1   
noticing                          0   0   1   
noticing that                     0   0   1   
noticing that there               0   0   1   
now                               3   1   2   
now become                        1   0   0   
now become a                      1   0   0   
now having                        0   0   1   
now having a                      0   0   1   
now it                            1   0   0   
now it was                        1   0   0   
now reading                       0   0   1   
now reading the                   0   0   1   
now that                          1   0   0   
now that he                       1   0   0   
now you                           0   1   0   
now you know                      0   1   0   
nowadays                          0   1   0   
nowadays since                    0   1   0   
nowadays since they               0   1   0   
number                            3   0   2   
number and                        1   0   0   
number and a                      1   0   0   
number bagshot                    1   0   0   
number bagshot row                1   0   0   
number four                       0   0   2   
number four drive                 0   0   1   
number four privet                0   0   1   
number the                        1   0   0   
number the date                   1   0   0   
numerous                          0   1   0   
numerous and                      0   1   0   
numerous and prosperous           0   1   0   
obviously                         0   0   1   
obviously collecting              0   0   1   
obviously collecting for          0   0   1   
oddities                          1   0   0   
oddities and                      1   0   0   
oddities and his                  1   0   0   
of                                26  28  21  
of a                              1   0   1   
of a firm                         0   0   1   
of a good                         1   0   0   
of age                            1   0   0   
of age at                         1   0   0   
of all                            0   1   0   
of all there                      0   1   0   
of asking                         0   1   0   
of asking him                     0   1   0   
of bag                            1   0   0   
of bag end                        1   0   0   
of bilbo                          1   1   0   
of bilbo baggins                  1   1   0   
of buckland                       1   0   0   
of buckland live                  1   0   0   
of bywater                        1   0   0   
of bywater is                     1   0   0   
of conversation                   1   0   0   
of conversation and               1   0   0   
of course                         2   1   0   
of course absurd                  0   1   0   
of course but                     1   0   0   
of course the                     1   0   0   
of drills                         0   0   1   
of drills he                      0   0   1   
of especially                     1   0   0   
of especially potatoes            1   0   0   
of her                            0   0   1   
of her time                       0   0   1   
of him                            1   0   1   
of him but                        0   0   1   
of him till                       1   0   0   
of his                            2   1   2   
of his mind                       0   0   2   
of his of                         1   0   0   
of his solid                      0   1   0   
of his younger                    1   0   0   
of hobbiton                       1   0   0   
of hobbiton should                1   0   0   
of how                            0   1   0   
of how a                          0   1   0   
of it                             2   1   1   
of it but                         1   0   0   
of it first                       0   1   0   
of it i                           1   0   0   
of it must                        0   0   1   
of mind                           0   1   0   
of mind and                       0   1   0   
of neck                           0   0   1   
of neck which                     0   0   1   
of nothing                        0   0   1   
of nothing except                 0   0   1   
of number                         0   0   2   
of number four                    0   0   2   
of our                            0   1   0   
of our particular                 0   1   0   
of pegs                           0   1   0   
of pegs for                       0   1   0   
of poor                           1   0   0   
of poor and                       1   0   0   
of privet                         0   0   1   
of privet drive                   0   0   1   
of remarkable                     0   1   0   
of remarkable tale                0   1   0   
of something                      0   0   1   
of something peculiar             0   0   1   
of special                        1   0   0   
of special magnificence           1   0   0   
of strangely                      0   0   1   
of strangely dressed              0   0   1   
of the                            4   10  2   
of the big                        0   1   0   
of the brandywine                 1   0   0   
of the coming                     1   0   0   
of the hill                       0   2   0   
of the hobbits                    0   1   0   
of the light                      0   0   1   
of the old                        0   1   0   
of the sackvillebagginses         1   0   0   
of the shire                      1   0   0   
of the street                     0   0   1   
of the the                        0   1   0   
of the three                      0   1   0   
of the took                       0   1   0   
of the world                      0   1   0   
of the would                      0   1   0   
of their                          0   1   0   
of their days                     0   1   0   
of them                           0   1   3   
of them had                       0   0   1   
of them noticed                   0   0   1   
of them were                      0   1   1   
of these                          1   1   1   
of these and                      1   0   0   
of these wardrobes                0   1   0   
of these weirdos                  0   0   1   
of this                           0   1   0   
of this of                        0   1   0   
of tongues                        1   0   0   
of tongues began                  1   0   0   
of town                           0   0   1   
of town drills                    0   0   1   
of tunnels                        1   0   0   
of tunnels stuffed                1   0   0   
of vegetables                     1   0   0   
of vegetables in                  1   0   0   
of visitors                       0   1   0   
of visitors the                   0   1   0   
of what                           0   1   0   
of what i                         0   1   0   
of worms                          0   1   0   
of worms and                      0   1   0   
off                               0   1   0   
off they                          0   1   0   
off they are                      0   1   0   
office                            0   0   1   
office on                         0   0   1   
office on the                     0   0   1   
often                             0   1   0   
often said                        0   1   0   
often said in                     0   1   0   
old                               8   2   0   
old and                           1   0   0   
old and stiff                     1   0   0   
old folk                          1   0   0   
old folk might                    1   0   0   
old forest                        2   0   0   
old forest a                      1   0   0   
old forest but                    1   0   0   
old ham                           1   0   0   
old ham gamgee                    1   0   0   
old holman                        1   0   0   
old holman in                     1   0   0   
old noakes                        1   0   0   
old noakes of                     1   0   0   
old or                            0   1   0   
old or so                         0   1   0   
old took                          1   1   0   
old took head                     0   1   0   
old took himself                  1   0   0   
older                             1   0   1   
older folk                        1   0   0   
older folk suddenly               1   0   0   
older than                        0   0   1   
older than he                     0   0   1   
on                                9   12  13  
on a                              0   0   1   
on a huddle                       0   0   1   
on and                            0   1   1   
on and a                          0   0   1   
on and on                         0   1   0   
on another                        0   1   0   
on another no                     0   1   0   
on any                            0   1   0   
on any question                   0   1   0   
on baggins                        1   0   0   
on baggins at                     1   0   0   
on but                            1   0   0   
on but it                         1   0   0   
on by                             1   0   0   
on by his                         1   0   0   
on drills                         0   0   2   
on drills dursley                 0   0   1   
on drills that                    0   0   1   
on going                          0   1   0   
on going fairly                   0   1   0   
on one                            0   1   0   
on one side                       0   1   0   
on or                             0   1   0   
on or to                          0   1   0   
on that                           1   0   0   
on that big                       1   0   0   
on the                            3   3   8   
on the bywater                    1   0   0   
on the cheek                      0   0   1   
on the corner                     0   0   2   
on the dull                       0   0   1   
on the edge                       0   0   1   
on the hill                       1   0   0   
on the neighbors                  0   0   1   
on the ninth                      0   0   1   
on the same                       0   2   0   
on the side                       0   1   0   
on the steering                   0   0   1   
on the wrong                      1   0   0   
on their                          0   1   0   
on their heads                    0   1   0   
on to                             0   1   0   
on to a                           0   1   0   
on very                           1   0   0   
on very friendly                  1   0   0   
on visiting                       1   0   0   
on visiting terms                 1   0   0   
on with                           0   1   0   
on with as                        0   1   0   
on young                          0   0   1   
on young people                   0   0   1   
once                              1   1   0   
once again                        1   0   0   
once again the                    1   0   0   
once in                           0   1   0   
once in a                         0   1   0   
one                               2   4   0   
one day                           1   0   0   
one day then                      1   0   0   
one had                           1   0   0   
one had a                         1   0   0   
one morning                       0   1   0   
one morning long                  0   1   0   
one of                            0   2   0   
one of the                        0   2   0   
one side                          0   1   0   
one side and                      0   1   0   
ones                              0   1   0   
ones to                           0   1   0   
ones to have                      0   1   0   
only                              1   6   0   
only a                            0   1   0   
only a quarter                    0   1   0   
only because                      0   1   0   
only because most                 0   1   0   
only heard                        0   1   0   
only heard very                   0   1   0   
only ones                         0   1   0   
only ones to                      0   1   0   
only reached                      1   0   0   
only reached and                  1   0   0   
only son                          0   1   0   
only son although                 0   1   0   
only waited                       0   1   0   
only waited for                   0   1   0   
oozy                              0   1   0   
oozy smell                        0   1   0   
oozy smell nor                    0   1   0   
opened                            0   2   0   
opened on                         0   1   0   
opened on to                      0   1   0   
opened out                        0   1   0   
opened out of                     0   1   0   
opinion                           0   0   1   
opinion there                     0   0   1   
opinion there was                 0   0   1   
or                                0   7   2   
or across                         0   1   0   
or across the                     0   1   0   
or did                            0   1   0   
or did anything                   0   1   0   
or mysterious                     0   0   1   
or mysterious because             0   0   1   
or no                             0   1   0   
or no magic                       0   1   0   
or over                           0   1   0   
or over the                       0   1   0   
or signs                          0   0   1   
or signs dursley                  0   0   1   
or so                             0   1   0   
or so and                         0   1   0   
or to                             0   1   0   
or to eat                         0   1   0   
or were                           0   1   0   
or were a                         0   1   0   
order                             0   0   1   
order of                          0   0   1   
order of drills                   0   0   1   
ordinary                          0   1   0   
ordinary everyday                 0   1   0   
ordinary everyday sort            0   1   0   
other                             1   1   0   
other darker                      1   0   0   
other darker rumours              1   0   0   
other families                    0   1   0   
other families that               0   1   0   
our                               1   2   1   
our comfortably                   1   0   0   
our comfortably at                1   0   0   
our height                        0   1   0   
our height and                    0   1   0   
our particular                    0   1   0   
our particular what               0   1   0   
our story                         0   0   1   
our story starts                  0   0   1   
out                               0   3   5   
out about                         0   0   1   
out about the                     0   0   1   
out his                           0   0   1   
out his most                      0   0   1   
out of                            0   2   3   
out of his                        0   0   2   
out of it                         0   1   0   
out of mind                       0   1   0   
out of number                     0   0   1   
out the                           0   1   0   
out the chance                    0   1   0   
outside                           0   0   1   
outside to                        0   0   1   
outside to suggest                0   0   1   
over                              1   2   2   
over garden                       0   0   1   
over garden fences                0   0   1   
over his                          0   1   0   
over his garden                   0   1   0   
over the                          1   1   1   
over the country                  0   0   1   
over the hill                     0   1   0   
over the shire                    1   0   0   
overhead                          0   0   1   
overhead most                     0   0   1   
overhead most of                  0   0   1   
owl                               0   0   4   
owl after                         0   0   1   
owl after owl                     0   0   1   
owl even                          0   0   1   
owl even at                       0   0   1   
owl flutter                       0   0   1   
owl flutter past                  0   0   1   
owl sped                          0   0   1   
owl sped overhead                 0   0   1   
owls                              0   0   1   
owls swoop                        0   0   1   
owls swoop ing                    0   0   1   
paid                              1   0   0   
paid for                          1   0   0   
paid for they                     1   0   0   
painted                           0   1   0   
painted green                     0   1   0   
painted green with                0   1   0   
panelled                          0   1   0   
panelled walls                    0   1   0   
panelled walls and                0   1   0   
pantries                          0   1   0   
pantries lots                     0   1   0   
pantries lots of                  0   1   0   
parking                           0   0   1   
parking lot                       0   0   1   
parking lot his                   0   0   1   
particular                        0   1   0   
particular what                   0   1   0   
particular what is                0   1   0   
partly                            0   1   0   
partly with                       0   1   0   
partly with her                   0   1   0   
party                             1   1   0   
party in                          0   1   0   
party in a                        0   1   0   
party of                          1   0   0   
party of special                  1   0   0   
passage                           0   1   0   
passage the                       0   1   0   
passage the best                  0   1   0   
passed                            1   0   0   
passed each                       1   0   0   
passed each year                  1   0   0   
passion                           1   0   0   
passion for                       1   0   0   
passion for family                1   0   0   
past                              0   0   3   
past eight                        0   0   1   
past eight dursley                0   0   1   
past in                           0   0   1   
past in broad                     0   0   1   
past the                          0   0   1   
past the window                   0   0   1   
pecked                            0   0   1   
pecked dursley                    0   0   1   
pecked dursley on                 0   0   1   
peculiar                          1   0   1   
peculiar a                        0   0   1   
peculiar a cat                    0   0   1   
peculiar and                      1   0   0   
peculiar and had                  1   0   0   
pegs                              0   1   0   
pegs for                          0   1   0   
pegs for hats                     0   1   0   
people                            1   4   8   
people about                      0   1   1   
people about half                 0   1   0   
people about people               0   0   1   
people as                         0   1   0   
people as they                    0   1   0   
people considered                 0   1   0   
people considered them            0   1   0   
people down                       0   0   1   
people down in                    0   0   1   
people for                        0   1   0   
people for many                   0   1   0   
people he                         0   0   2   
people he made                    0   0   1   
people he supposed                0   0   1   
people in                         0   0   1   
people in cloaks                  0   0   1   
people were                       1   0   1   
people were obviously             0   0   1   
people were willing               1   0   0   
people who                        0   0   1   
people who dressed                0   0   1   
people you                        0   0   1   
people you expect                 0   0   1   
perfect                           1   0   0   
perfect truth                     1   0   0   
perfect truth for                 1   0   0   
